LinkSNIFA,RUT
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/87,99554700-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/88,76577040-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/89,96803460-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/90,76041871-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/91,80893200-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/92,96859640-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/93,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/94,96817640-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/95,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/96,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/97,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/98,99520110-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/99,77601380-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/100,96956780-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/101,96720190-1
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/102,78007870-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/103,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/104,96773290-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/105,69073900-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/106,94528000-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/107,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/108,76179888-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/109,95065000-1
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/110,96728890-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/111,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/112,77138160-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/113,96800570-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/114,96953770-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/115,96916350-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/116,83297700-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/117,85027100-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/118,61808000-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/119,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/120,99584110-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/121,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/122,96606250-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/123,99577400-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/124,61825000-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/125,76701870-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/126,85145500-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/127,99509300-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/128,69070600-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/129,69254200-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/130,78827400-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/131,96971400-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/132,76161943-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/133,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/134,96719210-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/135,90331000-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/136,81095400-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/137,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/138,61113000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/139,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/141,96912440-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/142,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/143,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/144,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/145,78092530-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/146,76769080-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/147,93372000-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/148,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/149,96974530-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/150,99534220-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/152,77476390-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/153,78483600-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/154,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/155,96853150-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/156,96529310-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/157,78780240-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/158,61104000-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/160,79682480-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/161,76666340-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/162,99564380-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/163,76555400-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/164,61808000-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/165,77418580-1
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/166,93372000-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/167,77290950-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/168,90331000-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/169,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/170,89083300-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/171,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/172,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/173,69090300-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/175,96825130-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/176,96990050-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/177,96825130-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/178,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/179,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/180,96825130-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/181,69073800-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/182,96557910-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/183,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/184,96900690-1
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/185,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/187,76338870-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/189,87889500-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/190,61202000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/191,99553320-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/193,96787990-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/195,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/196,61825000-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/197,69072100-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/198,61825000-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/199,99577400-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/200,76071048-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/201,83659400-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/202,76033448-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/203,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/204,78219160-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/205,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/208,88680500-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/210,82258900-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/212,61704000-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/213,89468900-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/214,91081000-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/216,88680500-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/217,96754450-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/220,76803210-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/221,76591160-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/222,90209000-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/224,76107905-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/225,61704000-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/226,94272000-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/227,91337000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/228,87803800-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/229,77762940-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/232,96776190-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/233,76538731-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/236,76849990-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/240,79775750-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/241,61808000-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/242,92405000-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/245,93007000-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/248,61704000-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/250,96828810-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/252,61808000-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/253,96607990-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/254,92580000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/255,69250800-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/256,92580000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/257,96893220-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/258,96530590-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/259,61945700-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/260,78346810-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/261,59032420-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/262,61101001-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/263,69250800-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/264,69010100-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/265,93515000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/266,78358800-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/268,61813000-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/269,96791130-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/270,96718510-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/271,96702350-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/272,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/273,78495580-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/274,61945700-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/275,77494390-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/276,96575620-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/277,96542120-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/278,96542120-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/279,77672380-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/280,70770800-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/281,96861630-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/283,59032420-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/284,61202000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/285,61202000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/286,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/287,59060580-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/288,70770800-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/289,61945700-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/291,96756340-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/292,77672380-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/293,79639570-2
